Date,GOOGL,AMZN,META,MSFT,AAPL
2022-09-16,102.54608154296875,123.52999877929688,145.85086059570312,240.5923614501953,149.04855346679688
2022-09-19,102.81541442871094,124.66000366210938,147.57566833496094,240.37608337402344,152.78713989257812
2022-09-20,100.89018249511719,122.19000244140625,145.65145874023438,238.34115600585938,155.18060302734375
2022-09-21,99.0347671508789,118.54000091552734,141.69337463378906,234.9004669189453,152.03546142578125
2022-09-22,99.89264678955078,117.30999755859375,142.3912811279297,236.89605712890625,151.0662078857422
2022-09-23,98.49610900878906,113.77999877929688,139.988525390625,233.88792419433594,148.78150939941406
2022-09-26,97.9275131225586,115.1500015258789,135.96063232421875,233.42587280273438,149.11781311035156
2022-09-27,97.25917053222656,114.41000366210938,133.99655151367188,232.40350341796875,150.0969696044922
2022-09-28,99.8028793334961,118.01000213623047,141.18492126464844,236.9845428466797,148.19798278808594
2022-09-29,97.17936706542969,114.80000305175781,136.00051879882812,233.4750518798828,140.9186553955078
2022-09-30,95.41374206542969,113.0,135.272705078125,228.95298767089844,136.68556213378906
2022-10-03,98.39635467529297,115.87999725341797,138.1939239501953,236.66014099121094,140.8889617919922
2022-10-04,101.38894653320312,121.08999633789062,139.85890197753906,244.6621856689453,144.4989776611328
2022-10-05,101.17945861816406,120.94999694824219,138.56280517578125,244.9767608642578,144.79568481445312
2022-10-06,101.16948699951172,120.30000305175781,138.6525421142578,242.60760498046875,143.8363037109375
2022-10-07,98.4362564086914,114.55999755859375,133.0493927001953,230.2703094482422,138.55482482910156
2022-10-10,97.6182861328125,113.66999816894531,133.3883819580078,225.36483764648438,138.88121032714844
2022-10-11,96.9399642944336,112.20999908447266,128.1541290283203,221.58993530273438,137.45700073242188
2022-10-12,97.31902313232422,112.9000015258789,127.11726379394531,221.9241485595703,136.8240203857422
2022-10-13,98.8153076171875,112.52999877929688,129.89889526367188,230.2703094482422,141.42306518554688
2022-10-14,96.32148742675781,106.9000015258789,126.37948608398438,224.68655395507812,136.8635711669922
2022-10-17,99.72307586669922,113.79000091552734,133.63763427734375,233.50453186035156,140.84939575195312
2022-10-18,100.5210952758789,116.36000061035156,132.40135192871094,234.4580841064453,142.17474365234375
2022-10-19,99.3839111328125,115.06999969482422,132.830078125,232.47230529785156,142.28353881835938
2022-10-20,99.72307586669922,115.25,131.1351776123047,232.1479034423828,141.81866455078125
2022-10-21,100.88019561767578,119.31999969482422,129.61973571777344,238.01673889160156,145.65615844726562
2022-10-24,102.26676940917969,119.81999969482422,129.3306121826172,243.059814453125,147.812255859375
2022-10-25,104.22193145751953,120.5999984741211,137.0972137451172,246.41200256347656,150.6705780029297
2022-10-26,94.69551849365234,115.66000366210938,129.4302978515625,227.39979553222656,147.71336364746094
