time,BTC,BTC_diff,BTC_EMA12,BTC_EMA26,ETH,ETH_diff,ETH_EMA12,ETH_EMA26,USDT,USDT_diff,USDT_EMA12,USDT_EMA26,BNB,BNB_diff,BNB_EMA12,BNB_EMA26,USDC,USDC_diff,USDC_EMA12,USDC_EMA26
2022-02-19,40107.12,112.45999999999913,41666.706642956044,41521.13688786208,2764.5,-16.2199999999998,2926.1948271137044,2947.392978496315,1.0,0.0,1.0004795249492138,1.0005895029978233,399.84,0.44999999999998863,407.4095087220016,411.849328419654,1.0,0.0004999999999999449,0.9999490782585365,1.0000108320051497
2022-02-20,38397.25,-1709.8700000000026,41163.7133132705,41289.73785913155,2622.7,-141.80000000000018,2879.5033152500573,2923.3416467558473,1.0,0.0,1.000405751880104,1.0005458361090958,380.68,-19.159999999999968,403.2972766109244,409.5404892774574,1.001,0.0009999999999998899,1.000110758526454,1.000084103708472
2022-02-21,37037.39,-1359.8600000000006,40528.894341998115,40974.74912882551,2570.15,-52.54999999999973,2831.9104975192795,2897.1793025517104,1.001,0.0009999999999998899,1.0004971746677802,1.0005794778787924,356.82,-23.860000000000014,396.1469263630899,405.6352678494976,1.0,-0.0009999999999998899,1.0000937187531533,1.0000778738041407
2022-02-22,38267.75,1230.3600000000006,40181.02598169071,40774.230674838436,2638.81,68.65999999999985,2802.2027286701596,2878.0408356960284,1.001,0.0,1.0005745324111985,1.0006106276655484,374.49,17.670000000000016,392.81509153799914,403.3282109717571,1.0,0.0,1.0000793004834374,1.0000721053742043
2022-02-23,37270.85,-996.9000000000015,39733.306599892145,40514.72099522078,2580.97,-57.840000000000146,2768.1669242593657,2856.0355886074335,1.001,0.0,1.0006399889633217,1.0006394700606929,365.88,-8.610000000000014,388.6712313013839,400.5542694182936,1.0,0.0,1.0000671004090624,1.0000667642353744
2022-02-24,38353.62,1082.770000000004,39521.04712298566,40354.63944001924,2597.94,16.970000000000255,2741.9781666810018,2836.9173968587347,1.001,0.0,1.0006953752766568,1.000666175982123,360.45,-5.430000000000007,384.3295034088633,397.5835827947163,1.0,0.0,1.0000567772692066,1.0000618187364578
2022-02-25,39239.77,886.1499999999942,39477.773719449404,40272.05651853633,2769.0,171.05999999999995,2746.1353718070013,2831.8864785729024,1.001,0.0,1.0007422406187096,1.0006909036871507,375.01,14.560000000000002,382.8957336536535,395.9114655506632,1.0,0.0,1.0000480423047133,1.0000572395707943
2022-02-26,39134.83,-104.93999999999505,39425.01314722642,40187.81751716327,2780.32,11.320000000000164,2751.394545375155,2828.0667394193542,1.001,0.0,1.000781895908139,1.0007137997103248,373.86,-1.1499999999999773,381.50562078386065,394.2780236580215,1.0,0.0,1.0000406511809112,1.0000529996025873
2022-02-27,37714.96,-1419.8700000000026,39161.92804765312,40004.642886262285,2617.32,-163.0,2730.7676922405158,2812.4558698327355,1.001,0.0,1.0008154503838098,1.0007349997317823,359.83,-14.03000000000003,378.17090989403596,391.7263182018717,1.0,0.0,1.0000343971530787,1.0000490737060994
2022-02-28,43189.46,5474.5,39781.54834801418,40240.55526505767,2919.85,302.52999999999975,2759.857278049667,2820.4109905858663,1.0,-0.0009999999999998899,1.0006899964786082,1.0006805553072058,396.03,36.19999999999999,380.9184622180304,392.0451094461775,0.9994,-0.0006000000000000449,0.9999367975910666,1.0000009941723143
2022-03-01,44428.47,1239.010000000002,40496.45937139661,40550.7711713497,2976.59,56.74000000000024,2793.200773734334,2831.9798060980243,1.0,0.0,1.000583843174207,1.0006301438029683,408.83,12.800000000000011,385.21254495371807,393.2884346723866,1.0,0.0006000000000000449,0.9999465210385948,1.0000009205299205
2022-03-02,43935.37,-493.09999999999854,41025.5225450279,40801.48219569417,2949.03,-27.559999999999945,2817.174500852129,2840.650190831504,1.001,0.0009999999999998899,1.000647867301252,1.000657540558304,409.32,0.4900000000000091,388.9213841916076,394.47595802998757,1.0,0.0,0.9999547485711187,1.000000852342519
